date,bitcoin
2020-11-25,1478
2020-11-26,1676
2020-11-27,1397
2020-11-28,1143
2020-11-29,1066
2020-11-30,1478
2020-12-01,1577
2020-12-02,1235
2020-12-03,1183
2020-12-04,2228
2020-12-05,1930
2020-12-06,1841
2020-12-07,1937
2020-12-08,1909
2020-12-09,2011
2020-12-10,1793
2020-12-11,721
2020-12-12,573
2020-12-13,618
2020-12-14,609
2020-12-15,628
2020-12-16,1131
2020-12-17,1953
2020-12-18,2009
2020-12-19,1620
2020-12-20,1637
2020-12-21,1750
2020-12-22,1477
2020-12-23,1413
2020-12-24,1270
2020-12-25,1009
2020-12-26,1326
2020-12-27,1827
2020-12-28,1449
2020-12-29,1251
2020-12-30,1417
2020-12-31,1440
2021-01-01,675
2021-01-02,1002
2021-01-03,1267
2021-01-04,1047
2021-01-05,871
2021-01-06,985
2021-01-07,1381
2021-01-08,1627
2021-01-09,1215
2021-01-10,1181
2021-01-11,1738
2021-01-12,1350
2021-01-13,1144
2021-01-14,1169
2021-01-15,1839
2021-01-16,1508
2021-01-17,1390
2021-01-18,1304
2021-01-19,1287
2021-01-20,1254
2021-01-21,1530
2021-01-22,1776
2021-01-23,1186
2021-01-24,1077
2021-01-25,1124
2021-01-26,1068
2021-01-27,1137
2021-01-28,1182
2021-01-29,1940
2021-01-30,1356
2021-01-31,1134
2021-02-01,1136
2021-02-02,1061
2021-02-03,1118
2021-02-04,1178
2021-02-05,572
2021-02-06,633
2021-02-07,566
2021-02-08,1157
2021-02-09,1469
2021-02-10,988
2021-02-11,888
2021-02-12,1666
2021-02-13,1377
2021-02-14,1486
2021-02-15,1489
2021-02-16,1679
2021-02-17,1900
2021-02-18,1717
2021-02-19,1423
2021-02-20,1536
2021-02-21,1347
2021-02-22,1520
2021-02-23,1904
2021-02-24,1472
2021-02-25,1169
2021-02-26,2038
2021-02-27,1592
2021-02-28,1752
2021-03-01,1707
2021-03-02,1534
2021-03-03,1471
2021-03-04,1377
2021-03-05,1783
2021-03-06,1524
2021-03-07,1590
2021-03-08,1697
2021-03-09,2011
2021-03-10,1950
2021-03-11,1876
2021-03-12,1333
2021-03-13,1611
2021-03-14,1610
2021-03-15,1492
2021-03-16,1374
2021-03-17,1260
2021-03-18,1263
2021-03-19,1582
2021-03-20,1413
2021-03-21,1440
2021-03-22,1552
2021-03-23,1561
2021-03-24,1706
2021-03-25,1854
2021-03-26,1734
2021-03-27,1530
2021-03-28,1453
2021-03-29,1584
2021-03-30,1672
2021-03-31,1677
2021-04-01,1784
2021-04-02,2236
2021-04-03,1968
2021-04-04,1896
2021-04-05,1976
2021-04-06,1964
2021-04-07,1966
2021-04-08,1861
2021-04-09,1342
2021-04-10,1442
2021-04-11,1395
2021-04-12,1446
2021-04-13,1900
2021-04-14,2156
2021-04-15,1809
2021-04-16,1321
2021-04-17,1050
2021-04-18,1826
2021-04-19,1480
2021-04-20,1312
2021-04-21,1090
2021-04-22,1253
2021-04-23,2047
2021-04-24,1397
2021-04-25,1261
2021-04-26,1321
2021-04-27,1196
2021-04-28,1081
2021-04-29,973
2021-04-30,2019
2021-05-01,1992
2021-05-02,1816
2021-05-03,1994
2021-05-04,2085
2021-05-05,2091
2021-05-06,2015
2021-05-07,694
2021-05-08,619
2021-05-09,635
2021-05-10,668
2021-05-11,633
2021-05-12,686
2021-05-13,1626
2021-05-14,586
2021-05-15,421
2021-05-16,458
2021-05-17,658
2021-05-18,510
2021-05-19,1190
2021-05-20,985
2021-05-21,1676
2021-05-22,1456
2021-05-23,1656
2021-05-24,1602
2021-05-25,1281
2021-05-26,1095
2021-05-27,964
2021-05-28,1918
2021-05-29,1839
2021-05-30,1751
2021-05-31,1671
2021-06-01,1617
2021-06-02,1592
2021-06-03,1591
2021-06-04,1555
2021-06-05,1335
2021-06-06,1399
2021-06-07,1377
2021-06-08,1882
2021-06-09,1704
2021-06-10,1499
2021-06-11,1712
2021-06-12,1491
2021-06-13,1485
2021-06-14,1909
2021-06-15,1613
2021-06-16,1448
2021-06-17,1340
2021-06-18,895
2021-06-19,765
2021-06-20,844
2021-06-21,1214
2021-06-22,1594
2021-06-23,1187
2021-06-24,1002
2021-06-25,2056
2021-06-26,1888
